#xor_srcip xor_dstip xor_prot xor_srcport xor_dstport flowcnt pktcnt
1912539513 2080996300 17 60 18042 1 2
3702673763 2565111662 6 424 21176 5 5
1983670920 3518047843 17 570 411 3 3
1912539513 2076248956 17 94 18042 1 1
383581485 23065280 0 1400 39804 2 2
3603584092 1995392770 6 1448 40299 3 16
1991068715 2620166553 17 1303 5527 3 3
720998399 2028110238 6 421 63589 5 27
2098946095 2087237352 17 11 22024 3 3
107915336 1550577362 23 489 4307 8 8
2995656938 2807956953 0 0 61495 2 4
2037989248 2080924710 6 662 3076 1 95
57882 100006090 23 1067 11629 2 7
2124005859 1934811953 17 1496 27484 3 3
2889224858 1190812378 0 254 38349 2 2
228287406 1093782915 23 243 22016 2 2
182745024 2807614303 0 320 25183 4 42
2051725562 1934713955 6 784 31519 5 5
2060991515 3665939132 6 177 56679 3 3
2824051467 265364397 23 65 54142 4 5
2098840839 895433224 6 1460 43458 3 5
2882750010 21313 23 177 49989 2 2
3252705582 3679763636 17 329 27828 3 3
259686500 210508606 23 175 46266 2 2
3187307686 27642503 0 1660 36707 6 8
3502731456 3284498718 17 68 57421 3 3
3714390714 1935954001 17 2043 18137 5 57
3334063904 3705761924 6 132 20301 3 16
2051588320 825171599 6 498 64415 3 3
2098745800 2485016036 17 343 37533 3 3
3495567145 986987268 6 60 3817 3 8
1912559766 937011880 6 66 50206 3 3
194430147 4210766303 23 355 64508 4 202
1991111294 1899688284 17 60 57859 3 3
3369226409 3249463542 17 140 14103 3 3
127580358 9342987 0 200 12777 4 4
73401725 143662989 23 176 25386 2 4
2691131963 1582506576 23 355 54655 4 261
2712617823 130764039 23 53 8994 2 2
3524979868 988972263 6 244 8556 3 3
2894144213 143809567 0 339 6608 2 2
2894171560 130765067 23 126 13339 2 14
3716028751 3535148120 17 62 758 5 5
2064989512 3552751082 6 1962 65077 3 3
2094078326 1809664456 6 1114 53497 5 5
3700719623 808922573 6 140 58720 3 3
1912549582 2076386551 6 63 2992 1 1
196533618 1505635097 0 98 237 6 6
2058895713 3408537236 6 1444 15403 7 7
380523927 1092051431 23 308 16255 2 26
2833446396 175427054 0 395 59394 4 43
180908 2863564862 23 10 29245 4 264
3206927255 3946893292 23 217 22342 6 10
187070872 2693979881 23 704 7728 6 47
1912541239 1027183885 6 1514 63928 1 1
2098788215 3679933571 6 74 4536 1 1
2690929201 139397 23 262 60997 4 34
3586676755 3718593668 6 1 27667 5 5
3557696442 3669033669 6 671 31015 5 5
3617026108 3668789514 6 62 5760 3 3
1991053601 2158672055 17 186 58123 3 69
1305311782 3889409178 0 462 24105 6 86
3516523590 3728440885 17 1421 61718 5 44
2060990261 2491011754 6 1103 5267 3 3
258219641 160758882 0 1040 26522 6 20
2894209803 1188910861 0 122 911 4 4
2098877886 2080933447 17 143 7090 1 1
2792069749 31019171 0 1195 11630 4 4
1991094992 2038469361 17 7 32424 3 3
208997893 3775644463 0 205 7143 4 21
1912512560 1932015447 17 44 28549 3 3
1869254923 937142910 17 226 26923 3 3
258273809 1087260220 0 329 33744 4 23
