#fingerprint	count
-1321853085	18
-1358232674	9
-174580219	31
-1951510173	6
1544727814	9
1331320086	177
-709120406	647
-726868465	64
-145724769	10
2038591179	110
-1810457585	10
-887846973	108
-1883443212	20
-1890896374	10
1396053977	11
1646482481	8
-156051987	15
-1149480672	1338
1770662721	9
1632711701	6
886263831	67
1345317490	42
-2101531425	14
-795645061	33
2013564165	14
-1139988079	12
-1172769263	16
-1150561461	16
1242416280	9
707824470	9
1974906728	19
791142121	9
-1067989760	7
-1174520375	11
-1695749543	18
-622521720	9
-1637179166	54
1378229597	8
1942441267	8
144889071	90
-2111006284	6
1282268694	13
-1302217566	49
-201411894	46
-722265324	10
-1904374431	12
-551747701	9
-1054470723	154
1697860605	101
-1153927345	10
1967752797	1462
-556147317	6
336739800	9
1026449327	65
-337824083	9
-577881897	7
693262812	13
-1546360751	6
1183389720	6
369919106	7
-540760888	7
-1392465400	6
674147848	9
1431083885	9
206490219	27
-1357315224	7
1900997662	6
-1822836469	9
2062813247	47
501084728	7
-1642464013	136
1365142164	8
1606748763	12
2143928766	17
-828268413	10
-257154782	7
-1826966452	24
-446804045	27
-240102630	6
-1186714224	6
432483603	13
1946696066	8
1110618515	27
-1381450399	10
-1211225782	144
-930693307	8
1904996934	9
1272022466	153
-666753292	834
1724160768	10
-545383465	11
1029632247	8
-670249306	371
-9155796	16
-1222044783	6
92952924	10
922600872	89
975558363	11
2079886307	9
-1184089660	18
-1577728594	29
583304131	10
155658990	12
791419768	84
-1430466568	40
-1544219287	79
2146725453	15
631373071	320
1102951444	10
-1037693600	8
-362216487	399
-393522254	55
-360763281	95
-84305364	8
1044294870	6
801660454	8
1581130888	8
-1543473533	13
-203108176	27
-624501857	16
1288462186	19
986576967	32
847695259	18
-436957118	11
-1430130899	8
1825999427	29
-1333180281	9
-253781491	11
-1829070236	35
1990654018	10
1084215169	40
-92616028	20
-552952517	15
945362103	86
63296207	144
-988601803	8
-1624111761	31
1935758854	110
515989350	13
1247396348	84
1270941974	96
-321271153	13
510457358	9
-2035266343	101
-1337411327	10
863246124	9
958946889	10
1279122921	53
252058832	46
936236831	6
-1140255394	11
1502186074	16
1238918324	7
360299465	24
2019217600	10
-1970842703	643
542478102	8
-2020481519	7
468203275	9
1521029492	15
-1268712472	67
112949334	7
776298147	18
-860510787	9
-1425278036	15
506740309	20
-566458146	18
477982473	135
-635134985	29
689247217	7
1404711243	18
1347784287	22
102441293	7
-681544776	9
-1630739962	16
451756358	7
701678462	23
-1710941027	13
639178566	15
-1498726441	8306
-1054764624	6
1880837013	2677
-1490948353	12
153027286	7
1638195680	8
-1882872682	23
28352446	39
-1822667236	79
922408101	198
649711337	65
-116725418	53
-656637882	7
797896558	91
-893986937	12
562471761	10
983573329	6
1417021179	75
-1997079161	10
1722149611	1164
-658560131	42
935469683	7
-1018168028	20
-1901850241	12
1773494700	81
-1695432630	8
-1044072389	8
-748752265	108
2124897627	12
-669255790	15
-1461088846	8
-430225580	8
1331552417	107
1510393226	42
701233504	48
1794615271	6
-1420321174	248
-594913828	47
-2021920717	35
1802241820	36
-1659784474	16
-568501265	53
-156472494	43
1662731961	11
-1598578818	8
-682962493	54
576613746	9
1654032832	20
-1355157085	12
1562839590	28
-1395704349	15
-441303621	11
1350061478	9
-1140473263	23
-1623662064	65
-2019536900	7
1666458714	9
-142167342	73
-427076115	10
1493381985	8
-85010252	7
-882182191	61
893727582	7
228558098	6
-1777554368	32
633353468	9
1628565427	29
-1508613719	33
1154068436	6
-84631755	70
1164109469	492
-1132231511	8
1812379585	22
-256721825	13
-105864289	62
-1964346303	6
704633113	37
-1982673820	9
-1531979170	249
-1981945532	10
-1501607428	28
-265623565	6
-1972414393	16
-1843302694	11
-51957571	9
160245817	115
869389320	51
-1205124181	177
1354982185	9
67862117	13
-976826177	26
483739131	8
1818760967	15
-1937186731	13
343451889	9
-1389655133	227
-1701081667	8
908543013	11
1041086908	30
2006028227	9
-2037278707	12
595960181	58
-362294969	8
-1639914045	8
-1875146379	13
-1824806227	9
-606044172	1345
582478669	93
-1760781993	17
-255526196	36
1372469372	10
-1560018702	9
1828419627	14
955877218	8
-1566861273	25
-1503080503	22
-575474430	13
224005530	9
700171809	13
1297291207	11
1598060023	7
-1478505970	213
-2073203701	6
2040109122	36
-477180405	12
1861678105	6
770407284	562
1412507173	13
1895636137	9
1766873093	97
127832498	26
-1504782191	9
1710599097	11
1681907203	13
-1287557299	65
392587369	55
-514947386	7
1780059519	39
470185014	9
1326426570	58
-1166890500	265
51929161	6
1964765701	30
1460794808	15
291697621	13
44531897	11
-189828896	9
1238677452	205
1713829184	9
-1336006652	375
-1481687250	12
-594213910	6
1416028714	42
-1110967445	101
-1326118668	7
-109191282	62
747883763	12
-1129478083	9
2055628537	7
76079118	8
-258287939	6
1405555850	9
-22052474	6
-411974547	9
187812007	104
1379710021	8
-1784614284	7
-905095702	34
644855662	86
-884970367	8
-907511882	118
-714841568	75
32250600	465
-1830183049	8
622591867	18
-697077262	14
129453304	7
2058189665	29
790503960	73
-408260383	39
81893997	8
-1290099475	479
2038755710	133
132281853	12
-1690311029	9
-629573543	14
-828253549	10
1918590600	235
-1697477390	7
84391374	30
2090803812	9
2102559718	112
-1316151168	40
516796690	145
108355934	13
-67266135	6
-1615995574	9
1983940279	8
-1143187263	20
259208162	7
-1485051850	25
-843110468	7
-1880934691	8
-1018334223	16
214926566	58
-1514506960	9
588155190	15
1116284524	10
-164130351	12
-960962466	16
116924842	51
1890390355	18
1311730758	107
737457264	54
1047283190	1449
-324053335	19
-2068487615	9
-587052792	12
-297221203	7
-1391376191	21
-205639557	89
-1690631430	25
1492873929	25
-1858983682	7
-828021186	9
1866160715	9
-81912373	7
-186253601	16
2033529962	14
-548219755	12
-1917122199	71
-1459672753	86
1725225008	14
693560252	7
1725050856	9
656340340	8
-78566639	42
2097019532	15
-937886572	14
1686746604	24
139376220	6
252192640	84
-999599502	9
-2119114849	6
1948475155	446
-2082111515	11
-2093242447	123
577519099	6
-1127471200	7
-1264979005	11
701642839	20
1913970356	152
-1611031382	421
-798883484	16
-526327302	9
1249992799	42
-770322634	30
-864761383	31
-2107285190	6
-1542187936	142
1858676468	7
-1932997309	13
2079524072	91
43364607	22
-41901893	7
808288165	16
248663758	9
396357473	10
-1220790707	24
-645541624	10
682218205	7
1077747425	6
-619903248	7
2020205557	50
-547052638	22
-298818910	50
-364668291	19
-90678235	9
388919433	8
-1088804010	10
262523788	13
1112064274	353
1867146791	12
-1594064	34
-1897373936	15
803139231	14
2082634367	38
-1596409298	64
-413232893	11
67116470	8
-275508524	6
-263540716	21
-2025609118	14
-222224332	9
162698749	7
182529765	8
-507047656	52
56236402	102
-1134437625	144
1466834193	48
1173074090	74
-1944993128	9
91456787	57
-2112164173	1100
1091783213	150
605579864	13
1755184845	13
-1040812938	11
-1623359691	491
-741707526	9
-664081609	10
1307719801	15
-873914626	68
-1162054594	18
633372890	9
1724065049	30
-229875588	25
1944761676	34
-508113139	9
563267740	37
1558460477	6
-812407229	18
335313495	8
1666958548	20
-504424864	10
1831802500	8
1910744553	8
155092824	26
-1643212901	6
600639828	56
-1465222746	125
-1523807655	7
2125127915	10
2134331964	11
1779755782	39
-1561687950	29
-783879267	6
1636160300	16
2080506529	7
508880509	8
909285231	498
943006193	17
1184147361	6
57338637	40
1008471763	42
-1083602271	7
2030808305	7
-1981425332	6
-294334168	11
-1485528771	6
1974421749	20
513896955	618
-1683145592	8
-925369417	8
-2078017100	10
998973746	15
790590596	32
1490387858	9
-155461050	22
1000930898	10
-1412827951	7
726975788	24
2091333220	8
-1759935685	7
274402074	18
-467250439	26
541772769	8
-408855334	6
-190670160	129
-1016179228	22
-20382696	8
-466245472	10
-261490827	8
-752281031	10
89124785	9
1025129186	178
-711283722	275
-1494836962	11
1857642709	9
-1029662179	97
-121337790	9
1117325092	178
300533132	8
1717011554	6
407461158	9
1004866073	74
-1370011508	17
-1766295711	12
872799717	285
898302984	10
-1624344277	95
1853540432	6
1776403826	8
1298912455	12
1513598114	9
1459059526	7
-2012180140	9
-685318536	6
-1395052208	9
-650058927	9
-475627405	6
-245022244	79
-55039415	13
-1604915693	10
-582644188	16
950475011	7
1640920119	11
1641334558	9
25425824	16
-1225423876	130
108882710	10
1744805675	92
1406859311	12
-1230730027	23
205138922	9
-1692264056	9
-851109184	10
-1894345065	12
-727272775	10
-1012247725	12
1578530493	50
1567611879	7
663558282	57
1393801050	35
91761636	8
-1704041584	15
1790613906	7
1659931003	6
748371023	34
-1249587486	24
1506159181	12
1445423140	22
140414114	7
-446964564	12
-58664317	459
-1231974261	40
-1881105282	54
-51094898	9
-1623974547	8
-1413277958	7
-510062045	23
2125826220	11
875437618	154
-16946289	9
572885686	9
388865208	17
-1390832722	8
2010657234	102
-1980017767	82
141981651	9
-769398799	1734
-262523137	14
2033533257	305
343411212	6
-1989890284	6
837596351	8
123170345	68
-112548316	13
-1952244399	9
-672111864	12
1351619048	33
-1659071744	63
-1859805747	11
-709289287	28
-1499135040	100
1452314784	11
7980248	54
73031664	8
-775378052	82
468618955	23
-2059485660	8
-601309505	6
326516579	10
1128558696	657
